"molecule","method","candidate","baseline_status","candidate_status","baseline_iterations","candidate_iterations","baseline_energy_ry","candidate_energy_ry","energy_difference_ry","baseline_initial_eigensolver_seconds","candidate_initial_eigensolver_seconds","baseline_diagonalization_seconds","candidate_diagonalization_seconds","baseline_solver_wall_seconds","candidate_solver_wall_seconds","candidate_process_wall_seconds","returncode"
"CH4","sad","chebdav-15","converged","converged","22","18","-16.16944909","-16.16944914","-5.000000058430487e-08","0.337412","1.411143","1.627686","2.468631","7.72","9.28","9.930429","0"
"CH4","scdp","chebdav-15","converged","converged","18","12","-16.16944694","-16.16944915","-2.2099999981151086e-06","0.344082","1.468391","1.3663","2.125465","7.12","5.22","5.845242","0"
"CH4","charge3net","chebdav-15","converged","converged","17","9","-16.16944446","-16.16944903","-4.569999997983132e-06","0.341987","1.499376","1.301699","1.992919","6.62","4.66","5.291206","0"
"CH4","sad","chebdav-20","converged","converged","22","17","-16.16944909","-16.16944919","-1.0000000116860974e-07","0.337412","1.099543","1.627686","2.129287","7.72","9.31","9.943902","0"
"CH4","scdp","chebdav-20","converged","converged","18","12","-16.16944694","-16.16944915","-2.2099999981151086e-06","0.344082","1.278964","1.3663","1.952244","7.12","5.9","6.601659","0"
"CH4","charge3net","chebdav-20","converged","converged","17","9","-16.16944446","-16.16944901","-4.549999999881038e-06","0.341987","1.370338","1.301699","1.896092","6.62","4.72","5.321008","0"
